epoch:00318 loss:0.025135669484734537
epoch:00319 loss:0.02619095243513584
epoch:00320 loss:0.026958808898925782
epoch:00321 loss:0.025949090383946896
epoch:00322 loss:0.025857719369232656
epoch:00323 loss:0.02613411597907543
epoch:00324 loss:0.02590933080762625
epoch:00325 loss:0.025168853737413885
epoch:00326 loss:0.026363212130963803
epoch:00327 loss:0.02603861428797245
epoch:00328 loss:0.025993554592132567
epoch:00329 loss:0.026158417221158744
epoch:00330 loss:0.0254065977409482
epoch:00331 loss:0.025662265736609697
epoch:00332 loss:0.026998778972774744
epoch:00333 loss:0.02644192423671484
epoch:00334 loss:0.026674527302384378
epoch:00335 loss:0.025419893935322763
epoch:00336 loss:0.024668920822441577
epoch:00337 loss:0.02584567129611969
epoch:00338 loss:0.025434943959116937
epoch:00339 loss:0.02652338456362486
epoch:00340 loss:0.026294939815998078
epoch:00341 loss:0.024896539673209192
epoch:00342 loss:0.02533774998039007
epoch:00343 loss:0.02628892371430993
epoch:00344 loss:0.025135481283068657
epoch:00345 loss:0.026045895144343377
epoch:00346 loss:0.02618604578077793
epoch:00347 loss:0.027076213881373407
epoch:00348 loss:0.026905053928494453
epoch:00349 loss:0.02551238028332591
epoch:00350 loss:0.02595152094960213
epoch:00351 loss:0.024975512251257895
epoch:00352 loss:0.024973846692591905
epoch:00353 loss:0.026314859054982664
epoch:00354 loss:0.025553854685276746
epoch:00355 loss:0.025506474450230597
epoch:00356 loss:0.025981125347316267
epoch:00357 loss:0.025973851196467876
epoch:00358 loss:0.026263968385756016
epoch:00359 loss:0.02569352662190795
epoch:00360 loss:0.026298698745667936
epoch:00361 loss:0.02611014410853386
epoch:00362 loss:0.026333962231874466
epoch:00363 loss:0.024978337958455086
epoch:00364 loss:0.025715759582817556
epoch:00365 loss:0.026668205205351115
epoch:00366 loss:0.025802162867039444
epoch:00367 loss:0.02568760994821787
epoch:00368 loss:0.026144919563084842
epoch:00369 loss:0.026138354558497667
epoch:00370 loss:0.026186320334672927
epoch:00371 loss:0.025736514888703824
epoch:00372 loss:0.025331422854214906
epoch:00373 loss:0.025864899940788746
epoch:00374 loss:0.025860384833067657
epoch:00375 loss:0.025885985381901264
epoch:00376 loss:0.026856205239892007
epoch:00377 loss:0.025497331768274307
epoch:00378 loss:0.026383516266942023
epoch:00379 loss:0.024760774280875922
epoch:00380 loss:0.025295997075736522
epoch:00381 loss:0.02549650365486741
epoch:00382 loss:0.025148413851857187
epoch:00383 loss:0.026198429502546788
epoch:00384 loss:0.02654870815575123
epoch:00385 loss:0.02530401658266783
epoch:00386 loss:0.026509773246943952
epoch:00387 loss:0.02487603958696127
epoch:00388 loss:0.02536052858456969
epoch:00389 loss:0.02546997044235468
epoch:00390 loss:0.025534254480153323
epoch:00391 loss:0.026188034527003766
epoch:00392 loss:0.026106771156191824
epoch:00393 loss:0.025856746099889277
epoch:00394 loss:0.026751710325479506
epoch:00395 loss:0.02511316813528538
epoch:00396 loss:0.02496012592688203
epoch:00397 loss:0.02495579209178686
epoch:00398 loss:0.02596601292490959
epoch:00399 loss:0.026024517230689527
epoch:00400 loss:0.025242079086601733
epoch:00401 loss:0.026068524941802024
epoch:00402 loss:0.025972734093666076
epoch:00403 loss:0.026897713728249072
epoch:00404 loss:0.025906523372977972
epoch:00405 loss:0.02573698166757822
epoch:00406 loss:0.0258482426404953
epoch:00407 loss:0.026099409647285937
epoch:00408 loss:0.02630988247692585
epoch:00409 loss:0.024952763840556145
epoch:00410 loss:0.025370200760662556
epoch:00411 loss:0.025534337665885688
epoch:00412 loss:0.02541517000645399
epoch:00413 loss:0.026132867448031904
epoch:00414 loss:0.025112577490508558
epoch:00415 loss:0.025731399729847906
epoch:00416 loss:0.02576768571510911
epoch:00417 loss:0.025790511295199395
epoch:00418 loss:0.026271608509123325
epoch:00419 loss:0.02641928631812334
epoch:00420 loss:0.025924957431852816
epoch:00421 loss:0.024681068696081637
epoch:00422 loss:0.025259613618254663
epoch:00423 loss:0.026193389482796193
epoch:00424 loss:0.025129046775400638
epoch:00425 loss:0.0249154606834054
epoch:00426 loss:0.025446283165365458
epoch:00427 loss:0.026110662780702114
epoch:00428 loss:0.024979019686579704
epoch:00429 loss:0.025620873235166073
epoch:00430 loss:0.025159790813922882
epoch:00431 loss:0.026675331890583038
epoch:00432 loss:0.026635022014379502
epoch:00433 loss:0.025637006666511298
epoch:00434 loss:0.025282283164560795
epoch:00435 loss:0.025454364605247973
epoch:00436 loss:0.02647061811760068
epoch:00437 loss:0.025887159164994955
epoch:00438 loss:0.02615445502102375
epoch:00439 loss:0.025137677080929278
epoch:00440 loss:0.02504796240478754
epoch:00441 loss:0.02561933547258377
epoch:00442 loss:0.025193058215081693
epoch:00443 loss:0.025773028507828713
epoch:00444 loss:0.025201134271919726
epoch:00445 loss:0.026385948564857244
epoch:00446 loss:0.025769742839038372
epoch:00447 loss:0.02521993912756443
epoch:00448 loss:0.024617412555962802
epoch:00449 loss:0.02554419796913862
epoch:00450 loss:0.02548964150249958
epoch:00451 loss:0.02591018710285425
epoch:00452 loss:0.024923040121793746
epoch:00453 loss:0.025777639262378214
epoch:00454 loss:0.026143661960959436
epoch:00455 loss:0.025372247360646725
epoch:00456 loss:0.02585923532024026
epoch:00457 loss:0.024658493287861346
epoch:00458 loss:0.026203026846051216
epoch:00459 loss:0.02544442327693105
epoch:00460 loss:0.025578265953809024
epoch:00461 loss:0.02507313121110201
epoch:00462 loss:0.025046229436993597
epoch:00463 loss:0.026145035177469255
epoch:00464 loss:0.02568410724401474
epoch:00465 loss:0.025792554654181003
epoch:00466 loss:0.025228217281401157
epoch:00467 loss:0.026164170429110525
epoch:00468 loss:0.02510168820619583
epoch:00469 loss:0.02522686801850796
epoch:00470 loss:0.025449326857924462
epoch:00471 loss:0.02553818441927433
epoch:00472 loss:0.02540609773248434
epoch:00473 loss:0.025363597758114337
epoch:00474 loss:0.025914737656712532
epoch:00475 loss:0.025425090342760085
epoch:00476 loss:0.02558716982603073
epoch:00477 loss:0.02492445385083556
epoch:00478 loss:0.025887130200862883
epoch:00479 loss:0.025251334682106972
epoch:00480 loss:0.026201340109109877
epoch:00481 loss:0.02535238714888692
epoch:00482 loss:0.025535606741905213
epoch:00483 loss:0.02618887348100543
epoch:00484 loss:0.02455813016742468
epoch:00485 loss:0.026031376123428346
epoch:00486 loss:0.025074756648391486
epoch:00487 loss:0.025464626736938955
epoch:00488 loss:0.025110572390258313
epoch:00489 loss:0.025075547005981205
epoch:00490 loss:0.02547858648002148
epoch:00491 loss:0.025033605620265006
epoch:00492 loss:0.02471574991941452
epoch:00493 loss:0.024783663712441922
epoch:00494 loss:0.025937515832483767
epoch:00495 loss:0.025754152201116084
epoch:00496 loss:0.02479336705058813
epoch:00497 loss:0.02557143207639456
epoch:00498 loss:0.025519063733518123
epoch:00499 loss:0.025513993538916112
epoch:00500 loss:0.025988024100661276
epoch:00501 loss:0.02508063241839409
epoch:00502 loss:0.025286077708005904
epoch:00503 loss:0.024432090036571028
epoch:00504 loss:0.02499457897618413
epoch:00505 loss:0.025496672373265028
epoch:00506 loss:0.025467192139476538
epoch:00507 loss:0.026271438486874105
epoch:00508 loss:0.025653600692749023
epoch:00509 loss:0.024682726562023163
epoch:00510 loss:0.026628560833632946
epoch:00511 loss:0.024910551831126213
