epoch:178,lr:0.00019654379597097878000
epoch:179,lr:0.00019650488796099650000
epoch:180,lr:0.00019646576650880240000
epoch:181,lr:0.00019642643171092472000
epoch:182,lr:0.00019638688366441817000
epoch:183,lr:0.00019634712246686367000
epoch:184,lr:0.00019630714821636800000
epoch:185,lr:0.00019626696101156363000
epoch:186,lr:0.00019622656095160854000
epoch:187,lr:0.00019618594813618578000
epoch:188,lr:0.00019614512266550354000
epoch:189,lr:0.00019610408464029456000
epoch:190,lr:0.00019606283416181606000
epoch:191,lr:0.00019602137133184952000
epoch:192,lr:0.00019597969625270037000
epoch:193,lr:0.00019593780902719770000
epoch:194,lr:0.00019589570975869406000
epoch:195,lr:0.00019585339855106526000
epoch:196,lr:0.00019581087550870995000
epoch:197,lr:0.00019576814073654956000
epoch:198,lr:0.00019572519434002782000
epoch:199,lr:0.00019568203642511076000
epoch:200,lr:0.00019563866709828618000
epoch:201,lr:0.00019559508646656369000
epoch:202,lr:0.00019555129463747406000
epoch:203,lr:0.00019550729171906930000
epoch:204,lr:0.00019546307781992230000
epoch:205,lr:0.00019541865304912638000
epoch:206,lr:0.00019537401751629528000
epoch:207,lr:0.00019532917133156273000
epoch:208,lr:0.00019528411460558226000
epoch:209,lr:0.00019523884744952682000
epoch:210,lr:0.00019519336997508868000
epoch:211,lr:0.00019514768229447892000
epoch:212,lr:0.00019510178452042740000
epoch:213,lr:0.00019505567676618230000
epoch:214,lr:0.00019500935914550990000
epoch:215,lr:0.00019496283177269436000
epoch:216,lr:0.00019491609476253730000
epoch:217,lr:0.00019486914823035770000
epoch:218,lr:0.00019482199229199140000
epoch:219,lr:0.00019477462706379104000
epoch:220,lr:0.00019472705266262560000
epoch:221,lr:0.00019467926920588020000
epoch:222,lr:0.00019463127681145574000
epoch:223,lr:0.00019458307559776868000
epoch:224,lr:0.00019453466568375075000
epoch:225,lr:0.00019448604718884860000
epoch:226,lr:0.00019443722023302350000
epoch:227,lr:0.00019438818493675110000
epoch:228,lr:0.00019433894142102117000
epoch:229,lr:0.00019428948980733720000
epoch:230,lr:0.00019423983021771608000
epoch:231,lr:0.00019418996277468793000
epoch:232,lr:0.00019413988760129573000
epoch:233,lr:0.00019408960482109497000
epoch:234,lr:0.00019403911455815340000
epoch:235,lr:0.00019398841693705075000
epoch:236,lr:0.00019393751208287836000
epoch:237,lr:0.00019388640012123887000
epoch:238,lr:0.00019383508117824599000
epoch:239,lr:0.00019378355538052410000
epoch:240,lr:0.00019373182285520798000
epoch:241,lr:0.00019367988372994250000
epoch:242,lr:0.00019362773813288233000
epoch:243,lr:0.00019357538619269146000
epoch:244,lr:0.00019352282803854315000
epoch:245,lr:0.00019347006380011940000
epoch:246,lr:0.00019341709360761077000
epoch:247,lr:0.00019336391759171593000
epoch:248,lr:0.00019331053588364137000
epoch:249,lr:0.00019325694861510112000
epoch:250,lr:0.00019320315591831656000
epoch:251,lr:0.00019314915792601570000
epoch:252,lr:0.00019309495477143330000
epoch:253,lr:0.00019304054658831024000
epoch:254,lr:0.00019298593351089327000
epoch:255,lr:0.00019293111567393476000
epoch:256,lr:0.00019287609321269229000
epoch:257,lr:0.00019282086626292824000
epoch:258,lr:0.00019276543496090967000
epoch:259,lr:0.00019270979944340780000
epoch:260,lr:0.00019265395984769776000
epoch:261,lr:0.00019259791631155818000
epoch:262,lr:0.00019254166897327092000
epoch:263,lr:0.00019248521797162068000
epoch:264,lr:0.00019242856344589473000
epoch:265,lr:0.00019237170553588245000
epoch:266,lr:0.00019231464438187510000
epoch:267,lr:0.00019225738012466537000
epoch:268,lr:0.00019219991290554716000
epoch:269,lr:0.00019214224286631513000
epoch:270,lr:0.00019208437014926432000
epoch:271,lr:0.00019202629489718993000
epoch:272,lr:0.00019196801725338689000
epoch:273,lr:0.00019190953736164946000
epoch:274,lr:0.00019185085536627098000
epoch:275,lr:0.00019179197141204346000
epoch:276,lr:0.00019173288564425716000
epoch:277,lr:0.00019167359820870035000
epoch:278,lr:0.00019161410925165893000
epoch:279,lr:0.00019155441891991593000
epoch:280,lr:0.00019149452736075135000
epoch:281,lr:0.00019143443472194161000
epoch:282,lr:0.00019137414115175938000
epoch:283,lr:0.00019131364679897300000
epoch:284,lr:0.00019125295181284628000
epoch:285,lr:0.00019119205634313810000
epoch:286,lr:0.00019113096054010196000
epoch:287,lr:0.00019106966455448570000
epoch:288,lr:0.00019100816853753102000
epoch:289,lr:0.00019094647264097326000
epoch:290,lr:0.00019088457701704092000
epoch:291,lr:0.00019082248181845525000
epoch:292,lr:0.00019076018719843007000
epoch:293,lr:0.00019069769331067110000
epoch:294,lr:0.00019063500030937577000
epoch:295,lr:0.00019057210834923290000
epoch:296,lr:0.00019050901758542208000
epoch:297,lr:0.00019044572817361355000
epoch:298,lr:0.00019038224026996764000
epoch:299,lr:0.00019031855403113442000
epoch:300,lr:0.00019025466961425337000
epoch:301,lr:0.00019019058717695291000
epoch:302,lr:0.00019012630687735013000
epoch:303,lr:0.00019006182887405023000
epoch:304,lr:0.00018999715332614628000
epoch:305,lr:0.00018993228039321880000
epoch:306,lr:0.00018986721023533530000
epoch:307,lr:0.00018980194301304988000
epoch:308,lr:0.00018973647888740296000
epoch:309,lr:0.00018967081801992078000
epoch:310,lr:0.00018960496057261495000
epoch:311,lr:0.00018953890670798221000
epoch:312,lr:0.00018947265658900390000
epoch:313,lr:0.00018940621037914560000
epoch:314,lr:0.00018933956824235670000
epoch:315,lr:0.00018927273034307010000
epoch:316,lr:0.00018920569684620166000
epoch:317,lr:0.00018913846791714984000
epoch:318,lr:0.00018907104372179538000
epoch:319,lr:0.00018900342442650076000
epoch:320,lr:0.00018893561019810983000
epoch:321,lr:0.00018886760120394750000
epoch:322,lr:0.00018879939761181922000
epoch:323,lr:0.00018873099959001055000
epoch:324,lr:0.00018866240730728680000
epoch:325,lr:0.00018859362093289262000
epoch:326,lr:0.00018852464063655157000
epoch:327,lr:0.00018845546658846562000
epoch:328,lr:0.00018838609895931489000
epoch:329,lr:0.00018831653792025712000
epoch:330,lr:0.00018824678364292726000
epoch:331,lr:0.00018817683629943703000
epoch:332,lr:0.00018810669606237457000
epoch:333,lr:0.00018803636310480391000
epoch:334,lr:0.00018796583760026468000
epoch:335,lr:0.00018789511972277150000
epoch:336,lr:0.00018782420964681375000
epoch:337,lr:0.00018775310754735495000
epoch:338,lr:0.00018768181359983253000
epoch:339,lr:0.00018761032798015717000
epoch:340,lr:0.00018753865086471250000
epoch:341,lr:0.00018746678243035473000
epoch:342,lr:0.00018739472285441206000
epoch:343,lr:0.00018732247231468432000
epoch:344,lr:0.00018725003098944254000
epoch:345,lr:0.00018717739905742850000
epoch:346,lr:0.00018710457669785427000
epoch:347,lr:0.00018703156409040177000
epoch:348,lr:0.00018695836141522236000
epoch:349,lr:0.00018688496885293636000
epoch:350,lr:0.00018681138658463263000
epoch:351,lr:0.00018673761479186810000
epoch:352,lr:0.00018666365365666734000
epoch:353,lr:0.00018658950336152209000
epoch:354,lr:0.00018651516408939080000
epoch:355,lr:0.00018644063602369830000
epoch:356,lr:0.00018636591934833514000
epoch:357,lr:0.00018629101424765730000
epoch:358,lr:0.00018621592090648566000
epoch:359,lr:0.00018614063951010560000
epoch:360,lr:0.00018606517024426645000
epoch:361,lr:0.00018598951329518114000
epoch:362,lr:0.00018591366884952568000
epoch:363,lr:0.00018583763709443868000
epoch:364,lr:0.00018576141821752094000
epoch:365,lr:0.00018568501240683500000
epoch:366,lr:0.00018560841985090453000
epoch:367,lr:0.00018553164073871410000
