epoch:233,lr:0.00017713470308817660000
epoch:234,lr:0.00017694606168263245000
epoch:235,lr:0.00017675675954648674000
epoch:236,lr:0.00017656679854807507000
epoch:237,lr:0.00017637618056223585000
epoch:238,lr:0.00017618490747029164000
epoch:239,lr:0.00017599298116003061000
epoch:240,lr:0.00017580040352568798000
epoch:241,lr:0.00017560717646792723000
epoch:242,lr:0.00017541330189382146000
epoch:243,lr:0.00017521878171683440000
epoch:244,lr:0.00017502361785680167000
epoch:245,lr:0.00017482781223991180000
epoch:246,lr:0.00017463136679868720000
epoch:247,lr:0.00017443428347196498000
epoch:248,lr:0.00017423656420487810000
epoch:249,lr:0.00017403821094883588000
epoch:250,lr:0.00017383922566150485000
epoch:251,lr:0.00017363961030678946000
epoch:252,lr:0.00017343936685481270000
epoch:253,lr:0.00017323849728189660000
epoch:254,lr:0.00017303700357054272000
epoch:255,lr:0.00017283488770941270000
epoch:256,lr:0.00017263215169330842000
epoch:257,lr:0.00017242879752315260000
epoch:258,lr:0.00017222482720596874000
epoch:259,lr:0.00017202024275486154000
epoch:260,lr:0.00017181504618899693000
epoch:261,lr:0.00017160923953358218000
epoch:262,lr:0.00017140282481984588000
epoch:263,lr:0.00017119580408501790000
epoch:264,lr:0.00017098817937230940000
epoch:265,lr:0.00017077995273089240000
epoch:266,lr:0.00017057112621587980000
epoch:267,lr:0.00017036170188830500000
epoch:268,lr:0.00017015168181510156000
epoch:269,lr:0.00016994106806908285000
epoch:270,lr:0.00016972986272892148000
epoch:271,lr:0.00016951806787912887000
epoch:272,lr:0.00016930568561003475000
epoch:273,lr:0.00016909271801776628000
epoch:274,lr:0.00016887916720422770000
epoch:275,lr:0.00016866503527707930000
epoch:276,lr:0.00016845032434971674000
epoch:277,lr:0.00016823503654125020000
epoch:278,lr:0.00016801917397648340000
epoch:279,lr:0.00016780273878589280000
epoch:280,lr:0.00016758573310560627000
epoch:281,lr:0.00016736815907738228000
epoch:282,lr:0.00016715001884858868000
epoch:283,lr:0.00016693131457218142000
epoch:284,lr:0.00016671204840668340000
epoch:285,lr:0.00016649222251616323000
epoch:286,lr:0.00016627183907021365000
epoch:287,lr:0.00016605090024393032000
epoch:288,lr:0.00016582940821789025000
epoch:289,lr:0.00016560736517813030000
epoch:290,lr:0.00016538477331612565000
epoch:291,lr:0.00016516163482876813000
epoch:292,lr:0.00016493795191834445000
epoch:293,lr:0.00016471372679251474000
epoch:294,lr:0.00016448896166429037000
epoch:295,lr:0.00016426365875201246000
epoch:296,lr:0.00016403782027932977000
epoch:297,lr:0.00016381144847517692000
epoch:298,lr:0.00016358454557375215000
epoch:299,lr:0.00016335711381449555000
epoch:300,lr:0.00016312915544206672000
epoch:301,lr:0.00016290067270632278000
epoch:302,lr:0.00016267166786229612000
epoch:303,lr:0.00016244214317017206000
epoch:304,lr:0.00016221210089526665000
epoch:305,lr:0.00016198154330800428000
epoch:306,lr:0.00016175047268389528000
epoch:307,lr:0.00016151889130351337000
epoch:308,lr:0.00016128680145247333000
epoch:309,lr:0.00016105420542140828000
epoch:310,lr:0.00016082110550594712000
epoch:311,lr:0.00016058750400669192000
epoch:312,lr:0.00016035340322919520000
epoch:313,lr:0.00016011880548393710000
epoch:314,lr:0.00015988371308630264000
epoch:315,lr:0.00015964812835655892000
epoch:316,lr:0.00015941205361983204000
epoch:317,lr:0.00015917549120608440000
epoch:318,lr:0.00015893844345009152000
epoch:319,lr:0.00015870091269141900000
epoch:320,lr:0.00015846290127439960000
epoch:321,lr:0.00015822441154810988000
epoch:322,lr:0.00015798544586634718000
epoch:323,lr:0.00015774600658760628000
epoch:324,lr:0.00015750609607505620000
epoch:325,lr:0.00015726571669651682000
epoch:326,lr:0.00015702487082443558000
epoch:327,lr:0.00015678356083586404000
epoch:328,lr:0.00015654178911243434000
epoch:329,lr:0.00015629955804033580000
epoch:330,lr:0.00015605687001029125000
epoch:331,lr:0.00015581372741753360000
epoch:332,lr:0.00015557013266178212000
epoch:333,lr:0.00015532608814721865000
epoch:334,lr:0.00015508159628246408000
epoch:335,lr:0.00015483665948055436000
epoch:336,lr:0.00015459128015891686000
epoch:337,lr:0.00015434546073934643000
epoch:338,lr:0.00015409920364798150000
epoch:339,lr:0.00015385251131528008000
epoch:340,lr:0.00015360538617599598000
epoch:341,lr:0.00015335783066915452000
epoch:342,lr:0.00015310984723802864000
epoch:343,lr:0.00015286143833011468000
epoch:344,lr:0.00015261260639710825000
epoch:345,lr:0.00015236335389488010000
epoch:346,lr:0.00015211368328345176000
epoch:347,lr:0.00015186359702697140000
